epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.831,1.69781,2.97808,1.7397,0.34471,0.31208,0.24851,0.08688,2.12404,2.81711,2.23354,0.000662963,0.000662963,0.000662963
2,304.123,1.93768,2.7315,1.97663,0.29248,0.29195,0.18752,0.07304,2.25814,3.48515,2.65943,0.00132236,0.00132236,0.00132236
3,459.316,2.03399,2.7,2.07805,0.26155,0.28523,0.18197,0.07404,2.20979,3.35419,2.34181,0.00197446,0.00197446,0.00197446
4,609.614,1.99089,2.64138,2.06452,0.32581,0.29195,0.23451,0.0964,2.06718,3.23949,2.28545,0.00196718,0.00196718,0.00196718
5,764.229,1.91414,2.47746,1.98231,0.36059,0.34564,0.29552,0.11682,2.17908,2.76009,2.30222,0.00195624,0.00195624,0.00195624
6,918.05,1.84119,2.41057,1.91184,0.5372,0.41946,0.45137,0.20792,1.88391,2.30837,2.05699,0.0019453,0.0019453,0.0019453
7,1071.96,1.78997,2.30544,1.88479,0.45859,0.38255,0.38713,0.17546,1.83348,2.38426,2.00296,0.00193436,0.00193436,0.00193436
8,1226.27,1.72858,2.1968,1.81501,0.6536,0.42282,0.53124,0.254,1.75818,2.07655,1.94096,0.00192343,0.00192343,0.00192343
9,1387.3,1.73542,2.1817,1.80557,0.58435,0.4396,0.50376,0.23878,1.89803,1.95474,2.04262,0.00191249,0.00191249,0.00191249
10,1539.22,1.68447,2.08366,1.77822,0.6212,0.46776,0.53573,0.2624,1.7024,1.86735,1.84433,0.00190155,0.00190155,0.00190155
11,1696.97,1.6642,2.08481,1.76552,0.53041,0.57383,0.54894,0.275,1.63377,1.88815,1.81823,0.00189061,0.00189061,0.00189061
12,1855.91,1.61645,2.00271,1.72472,0.56897,0.50336,0.56204,0.27863,1.69669,1.87197,1.8383,0.00187967,0.00187967,0.00187967
13,2007.3,1.60611,1.96467,1.72384,0.6184,0.57383,0.62603,0.33511,1.59524,1.71892,1.79951,0.00186873,0.00186873,0.00186873
14,2165.86,1.58149,1.90838,1.68957,0.59095,0.55034,0.59814,0.31159,1.49894,1.62285,1.71592,0.00185779,0.00185779,0.00185779
15,2319.75,1.57048,1.89643,1.6739,0.60122,0.61074,0.65929,0.35091,1.61959,1.65282,1.76462,0.00184685,0.00184685,0.00184685
16,2463.93,1.54062,1.87854,1.65194,0.69878,0.51342,0.63664,0.33706,1.51825,1.61092,1.72165,0.00183591,0.00183591,0.00183591
17,2614.16,1.54929,1.84172,1.66726,0.62892,0.60403,0.63857,0.36698,1.5091,1.57864,1.70707,0.00182497,0.00182497,0.00182497
18,2760.24,1.51898,1.82155,1.65235,0.58935,0.58754,0.59618,0.33613,1.58412,1.72998,1.79289,0.00181403,0.00181403,0.00181403
19,2912.81,1.50289,1.7438,1.64261,0.68795,0.60067,0.67573,0.3791,1.47694,1.48452,1.68755,0.00180309,0.00180309,0.00180309
20,3063.15,1.50122,1.77395,1.63645,0.66156,0.551,0.62991,0.34521,1.53404,1.65357,1.71078,0.00179215,0.00179215,0.00179215
21,3216.3,1.48267,1.73212,1.60184,0.70396,0.60738,0.70422,0.40847,1.47337,1.44631,1.6614,0.00178122,0.00178122,0.00178122
22,3365.7,1.4862,1.68534,1.6309,0.70349,0.57324,0.68251,0.36916,1.52253,1.44134,1.72456,0.00177028,0.00177028,0.00177028
23,3509.98,1.45227,1.66587,1.57934,0.6742,0.62416,0.69121,0.39401,1.45308,1.38832,1.64888,0.00175934,0.00175934,0.00175934
24,3666.59,1.45404,1.65305,1.59,0.66084,0.72483,0.73483,0.41275,1.49496,1.39332,1.67913,0.0017484,0.0017484,0.0017484
25,3818.96,1.45901,1.64261,1.59007,0.74943,0.63423,0.73819,0.42923,1.40295,1.26418,1.6313,0.00173746,0.00173746,0.00173746
26,3971.02,1.4396,1.64234,1.57477,0.70833,0.63423,0.69451,0.40211,1.47681,1.44116,1.69865,0.00172652,0.00172652,0.00172652
27,4113.03,1.42569,1.62437,1.57024,0.69984,0.69799,0.74309,0.42803,1.4145,1.27524,1.59934,0.00171558,0.00171558,0.00171558
28,4226.97,1.39754,1.54218,1.5351,0.71924,0.68456,0.7575,0.41937,1.45571,1.30565,1.63631,0.00170464,0.00170464,0.00170464
29,4342.41,1.40854,1.56078,1.55548,0.74729,0.68469,0.76068,0.44963,1.35643,1.26421,1.57718,0.0016937,0.0016937,0.0016937
30,4459.51,1.3986,1.53842,1.53133,0.7179,0.68121,0.74763,0.43339,1.38558,1.25062,1.62944,0.00168276,0.00168276,0.00168276
31,4571.13,1.40434,1.51727,1.53851,0.74118,0.72072,0.76138,0.43361,1.42289,1.32152,1.66972,0.00167182,0.00167182,0.00167182
32,4679.12,1.36282,1.48107,1.50637,0.722,0.68121,0.74034,0.43565,1.32889,1.19087,1.59104,0.00166088,0.00166088,0.00166088
33,4795.53,1.3577,1.49638,1.50543,0.76449,0.75164,0.80439,0.48792,1.29869,1.15003,1.52984,0.00164994,0.00164994,0.00164994
34,4914.51,1.36449,1.46467,1.51561,0.80645,0.70805,0.80027,0.46826,1.40076,1.16513,1.61274,0.00163901,0.00163901,0.00163901
35,5018.54,1.3545,1.42798,1.50623,0.79805,0.70282,0.81382,0.46552,1.38115,1.16123,1.59254,0.00162807,0.00162807,0.00162807
36,5129.3,1.3693,1.46104,1.51113,0.81496,0.69128,0.80233,0.48414,1.35622,1.12535,1.55982,0.00161713,0.00161713,0.00161713
37,5210.83,1.34919,1.40908,1.4882,0.67793,0.73461,0.76912,0.44543,1.41936,1.18072,1.62686,0.00160619,0.00160619,0.00160619
38,5292.41,1.32703,1.38575,1.47664,0.78904,0.72483,0.79624,0.48892,1.35773,1.12531,1.57056,0.00159525,0.00159525,0.00159525
39,5374.19,1.34144,1.38091,1.48345,0.76518,0.7217,0.7913,0.46762,1.37209,1.06278,1.61853,0.00158431,0.00158431,0.00158431
40,5455.8,1.32303,1.36385,1.47912,0.79766,0.76846,0.8218,0.48898,1.36811,1.10525,1.57247,0.00157337,0.00157337,0.00157337
41,5537.56,1.32668,1.3936,1.4904,0.77928,0.73826,0.79731,0.47704,1.32388,1.0776,1.56133,0.00156243,0.00156243,0.00156243
42,5620.38,1.32537,1.38575,1.47478,0.80889,0.75168,0.80817,0.49857,1.34718,1.08203,1.55663,0.00155149,0.00155149,0.00155149
43,5703.78,1.31664,1.3674,1.46503,0.78667,0.76719,0.82849,0.51439,1.28324,1.02982,1.50951,0.00154055,0.00154055,0.00154055
