epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1823.1,0.95161,3.22746,0.31182,0.77422,1.14183,0.85593,0.78432,0.88305,0.64493,0.81853,0.6779,0.73236,0.39349,0.95237,3.04136,0.31481,0.73925,1.11097,0.00333239,0.00333239,0.00333239
2,3585.22,1.08088,4.01913,0.34802,0.93086,1.22127,0.84154,0.75,0.85107,0.59713,0.77009,0.64911,0.67417,0.33627,1.0386,3.55148,0.34853,0.8227,1.18603,0.00659973,0.00659973,0.00659973
3,5335.59,1.20516,4.70588,0.38442,1.08616,1.30229,0.82727,0.72497,0.82651,0.55557,0.75106,0.59514,0.62046,0.28163,1.11981,3.89111,0.37169,0.92647,1.23992,0.00980108,0.00980108,0.00980108
4,7060.75,1.24486,4.88983,0.39842,1.13934,1.32953,0.82839,0.73865,0.84364,0.58274,0.77246,0.61492,0.65084,0.30861,1.06215,3.69689,0.36521,0.87436,1.20441,0.009703,0.009703,0.009703
5,8792.78,1.19678,4.66873,0.39038,1.08615,1.3012,0.82985,0.7574,0.85262,0.5997,0.76936,0.64106,0.67601,0.33907,1.01851,3.46132,0.35754,0.8412,1.17674,0.009604,0.009604,0.009604
6,10525.5,1.17078,4.51857,0.38436,1.05364,1.28321,0.83948,0.767,0.86561,0.61799,0.79781,0.64405,0.69435,0.35948,0.98955,3.36557,0.35239,0.79369,1.15371,0.009505,0.009505,0.009505
7,12257.1,1.15314,4.42096,0.37933,1.03243,1.27242,0.85605,0.76338,0.87116,0.62966,0.79146,0.6694,0.71146,0.37623,0.97057,3.23629,0.34616,0.77295,1.14231,0.009406,0.009406,0.009406
8,13989.2,1.13821,4.34578,0.37454,1.01244,1.26132,0.85677,0.77503,0.87841,0.64041,0.80405,0.67648,0.72742,0.39557,0.94852,3.14267,0.34302,0.75134,1.12421,0.009307,0.009307,0.009307
9,15728.1,1.12878,4.27904,0.37137,0.99742,1.2547,0.85889,0.77865,0.88131,0.64738,0.80471,0.68566,0.73168,0.40214,0.93402,3.07692,0.33957,0.73767,1.11359,0.009208,0.009208,0.009208
10,17459.5,1.11843,4.22927,0.36858,0.98716,1.24756,0.85133,0.7861,0.88284,0.6492,0.81479,0.68467,0.7376,0.40678,0.9297,3.02143,0.33571,0.72531,1.11167,0.009109,0.009109,0.009109
