epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7768,2.0513,3.58148,1.9196,0.22273,0.27149,0.15306,0.05731,2.04049,3.53602,2.06484,0.000661939,0.000661939,0.000661939
2,134.584,2.16325,3.09736,2.04318,0.32583,0.1448,0.15159,0.06895,2.16574,4.66031,2.32076,0.00132203,0.00132203,0.00132203
3,199.034,2.24521,3.03247,2.19402,0.19123,0.13575,0.08101,0.03121,2.8464,3.09212,2.90409,0.00197552,0.00197552,0.00197552
4,263.185,2.24692,2.93897,2.2026,0.20174,0.21267,0.1387,0.05128,2.3846,3.32909,2.48763,0.0019703,0.0019703,0.0019703
5,327.51,2.15474,2.75196,2.09556,0.33101,0.28882,0.25983,0.09888,2.13229,3.18648,2.30095,0.0019604,0.0019604,0.0019604
6,391.642,2.07718,2.6085,2.04476,0.51761,0.34842,0.38365,0.17657,1.89385,2.25865,2.05644,0.0019505,0.0019505,0.0019505
7,455.998,2.02482,2.51731,2.01176,0.51326,0.35786,0.39887,0.20762,1.78934,2.09336,1.96331,0.0019406,0.0019406,0.0019406
8,520.428,1.9663,2.42187,1.96091,0.5117,0.36652,0.39561,0.20196,1.85774,2.16805,2.033,0.0019307,0.0019307,0.0019307
9,584.936,1.92463,2.3892,1.92353,0.59049,0.44796,0.48844,0.24447,1.82148,2.02086,1.96976,0.0019208,0.0019208,0.0019208
10,649.162,1.88834,2.29774,1.9061,0.4071,0.47511,0.41125,0.22028,1.76301,1.98067,1.94672,0.0019109,0.0019109,0.0019109
11,713.409,1.85821,2.29017,1.87666,0.5309,0.57466,0.56801,0.30286,1.70662,1.71617,1.84636,0.001901,0.001901,0.001901
12,777.964,1.85006,2.21993,1.85184,0.63378,0.5325,0.56476,0.30859,1.64178,1.69353,1.78237,0.0018911,0.0018911,0.0018911
13,842.372,1.83877,2.12413,1.82891,0.65126,0.53394,0.58135,0.29337,1.75632,1.8255,1.89075,0.0018812,0.0018812,0.0018812
14,906.895,1.83086,2.12806,1.81606,0.7016,0.50003,0.61267,0.32462,1.6482,1.93281,1.80437,0.0018713,0.0018713,0.0018713
15,971.161,1.75667,2.07078,1.77327,0.66008,0.51584,0.59271,0.30459,1.7211,1.93113,1.85244,0.0018614,0.0018614,0.0018614
16,1035.76,1.76508,2.03481,1.77784,0.70044,0.57466,0.68671,0.36198,1.65415,1.5183,1.83557,0.0018515,0.0018515,0.0018515
17,1100.28,1.73272,1.98146,1.74339,0.6621,0.56109,0.63359,0.33017,1.58954,1.66987,1.7586,0.0018416,0.0018416,0.0018416
18,1164.62,1.73417,1.94926,1.74429,0.77661,0.61349,0.72986,0.41095,1.56994,1.42959,1.73267,0.0018317,0.0018317,0.0018317
19,1228.89,1.72984,1.93502,1.73911,0.75256,0.57014,0.68583,0.35288,1.64561,1.49554,1.7922,0.0018218,0.0018218,0.0018218
20,1293.47,1.68309,1.89052,1.71242,0.691,0.63348,0.71011,0.37877,1.61535,1.47464,1.73818,0.0018119,0.0018119,0.0018119
21,1357.6,1.68617,1.9115,1.70236,0.67121,0.5912,0.672,0.38691,1.6059,1.41716,1.76241,0.001802,0.001802,0.001802
22,1422.12,1.65904,1.84494,1.70476,0.73495,0.58824,0.6901,0.3899,1.61127,1.57648,1.81783,0.0017921,0.0017921,0.0017921
23,1486.43,1.66158,1.77825,1.68615,0.73863,0.65217,0.73817,0.40878,1.56243,1.41069,1.76006,0.0017822,0.0017822,0.0017822
24,1550.92,1.64455,1.79783,1.68237,0.70583,0.66063,0.70813,0.39932,1.56838,1.30068,1.73475,0.0017723,0.0017723,0.0017723
25,1615.49,1.64595,1.77364,1.67993,0.70633,0.63801,0.69394,0.39514,1.59707,1.42367,1.72573,0.0017624,0.0017624,0.0017624
26,1679.99,1.65447,1.77175,1.68869,0.74949,0.69045,0.76205,0.44032,1.4847,1.2641,1.66849,0.0017525,0.0017525,0.0017525
27,1744.55,1.60944,1.70132,1.64936,0.78552,0.74575,0.78016,0.43597,1.4406,1.26907,1.62125,0.0017426,0.0017426,0.0017426
28,1809.15,1.60721,1.71909,1.63164,0.77125,0.69683,0.81173,0.4493,1.48404,1.19304,1.60965,0.0017327,0.0017327,0.0017327
29,1873.6,1.5898,1.71911,1.64668,0.77615,0.65158,0.75461,0.41502,1.57147,1.28926,1.68037,0.0017228,0.0017228,0.0017228
30,1938.19,1.60365,1.69389,1.63945,0.72803,0.70254,0.77419,0.42677,1.57292,1.21714,1.72773,0.0017129,0.0017129,0.0017129
31,2002.57,1.60121,1.64392,1.63636,0.81187,0.72851,0.81196,0.46303,1.47399,1.17415,1.62019,0.001703,0.001703,0.001703
32,2067.17,1.5721,1.6248,1.6029,0.77453,0.77828,0.85059,0.50576,1.44255,1.05355,1.57903,0.0016931,0.0016931,0.0016931
33,2131.57,1.57653,1.61805,1.62212,0.80989,0.72398,0.80652,0.47859,1.47513,1.17724,1.67701,0.0016832,0.0016832,0.0016832
34,2195.96,1.537,1.58594,1.58902,0.82254,0.70136,0.80297,0.46941,1.43829,1.14421,1.62467,0.0016733,0.0016733,0.0016733
35,2260.21,1.50737,1.52855,1.54763,0.86433,0.68778,0.82328,0.48871,1.45533,1.14086,1.58995,0.0016634,0.0016634,0.0016634
36,2324.75,1.52141,1.54765,1.56507,0.80117,0.75113,0.82605,0.48524,1.41927,1.06657,1.5902,0.0016535,0.0016535,0.0016535
37,2389.19,1.51073,1.50734,1.55704,0.82497,0.74647,0.83942,0.49131,1.46138,1.06719,1.61606,0.0016436,0.0016436,0.0016436
38,2453.66,1.51162,1.52556,1.55587,0.82837,0.75113,0.83743,0.49198,1.43946,1.06512,1.5795,0.0016337,0.0016337,0.0016337
39,2518.09,1.51163,1.50774,1.56139,0.85382,0.79291,0.8555,0.48643,1.48908,1.02128,1.6222,0.0016238,0.0016238,0.0016238
40,2582.71,1.5306,1.5289,1.56051,0.87737,0.74461,0.85137,0.50934,1.41977,1.0448,1.60611,0.0016139,0.0016139,0.0016139
41,2647.09,1.50166,1.49549,1.55006,0.87307,0.68778,0.81497,0.49428,1.44092,1.04123,1.57989,0.001604,0.001604,0.001604
42,2711.46,1.4832,1.46565,1.51817,0.84916,0.7642,0.85737,0.52856,1.41,0.98789,1.55845,0.0015941,0.0015941,0.0015941
43,2776.04,1.47136,1.45781,1.50711,0.78502,0.79186,0.85232,0.5091,1.43932,0.98936,1.63389,0.0015842,0.0015842,0.0015842
44,2840.62,1.45922,1.45254,1.51541,0.87748,0.71299,0.8326,0.52358,1.3978,1.0412,1.6007,0.0015743,0.0015743,0.0015743
45,2905.04,1.46917,1.42039,1.51987,0.88171,0.74661,0.84844,0.51211,1.44371,1.06713,1.58987,0.0015644,0.0015644,0.0015644
46,2969.37,1.46141,1.43098,1.52119,0.93223,0.71946,0.8396,0.50461,1.42629,1.12168,1.62481,0.0015545,0.0015545,0.0015545
47,3033.88,1.45408,1.39994,1.50352,0.84737,0.76471,0.8639,0.52625,1.42138,0.98033,1.57495,0.0015446,0.0015446,0.0015446
48,3098.4,1.46053,1.44112,1.51692,0.85134,0.76923,0.85879,0.51538,1.42837,0.97906,1.57453,0.0015347,0.0015347,0.0015347
49,3162.99,1.44897,1.39664,1.49915,0.86743,0.74022,0.859,0.53653,1.38274,0.95296,1.56282,0.0015248,0.0015248,0.0015248
50,3227.27,1.46398,1.39074,1.53005,0.82325,0.75874,0.84453,0.51695,1.38309,1.00532,1.5577,0.0015149,0.0015149,0.0015149
51,3291.78,1.45393,1.37381,1.51081,0.85848,0.78733,0.85782,0.50773,1.40445,1.02417,1.57399,0.001505,0.001505,0.001505
52,3356.27,1.4237,1.34235,1.48142,0.85562,0.77765,0.83533,0.52515,1.36439,0.95907,1.54373,0.0014951,0.0014951,0.0014951
53,3420.86,1.44438,1.41253,1.50274,0.87235,0.80995,0.855,0.52109,1.38793,0.94387,1.55235,0.0014852,0.0014852,0.0014852
54,3485.23,1.41615,1.37235,1.485,0.84073,0.84163,0.87512,0.53382,1.37431,0.90158,1.53988,0.0014753,0.0014753,0.0014753
55,3549.74,1.40485,1.30802,1.46464,0.86717,0.79186,0.88304,0.53804,1.3873,0.91763,1.54491,0.0014654,0.0014654,0.0014654
56,3614.23,1.40217,1.32122,1.46655,0.86331,0.79186,0.86702,0.53974,1.32102,0.92918,1.52405,0.0014555,0.0014555,0.0014555
57,3678.63,1.39511,1.30605,1.45288,0.84986,0.8009,0.87098,0.54526,1.38832,0.92798,1.53474,0.0014456,0.0014456,0.0014456
58,3743.29,1.40757,1.30031,1.46984,0.88835,0.79206,0.87829,0.54752,1.3212,0.8932,1.51657,0.0014357,0.0014357,0.0014357
59,3807.86,1.40679,1.30905,1.46224,0.89585,0.78281,0.87526,0.53951,1.39437,0.90649,1.54488,0.0014258,0.0014258,0.0014258
60,3872.38,1.40869,1.3132,1.46493,0.89102,0.81394,0.89192,0.5504,1.34858,0.86373,1.53932,0.0014159,0.0014159,0.0014159
61,3936.75,1.38697,1.31722,1.45917,0.82389,0.80444,0.87792,0.54676,1.3534,0.86806,1.51567,0.001406,0.001406,0.001406
62,4001.39,1.38864,1.28713,1.45853,0.91299,0.80711,0.907,0.5677,1.38058,0.86056,1.53517,0.0013961,0.0013961,0.0013961
63,4065.83,1.36646,1.26476,1.43739,0.88507,0.76661,0.84486,0.52793,1.34168,0.91339,1.49391,0.0013862,0.0013862,0.0013862
64,4130.33,1.36062,1.26762,1.43895,0.87933,0.82434,0.89423,0.54346,1.33916,0.88413,1.51823,0.0013763,0.0013763,0.0013763
65,4194.9,1.34795,1.24906,1.43034,0.85517,0.78733,0.87838,0.54811,1.32047,0.87135,1.49304,0.0013664,0.0013664,0.0013664
66,4259.32,1.36598,1.27951,1.43507,0.86904,0.81072,0.88458,0.55442,1.34676,0.87026,1.50216,0.0013565,0.0013565,0.0013565
