epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5542,2.0513,3.58148,1.9196,0.22273,0.27149,0.15306,0.05731,2.04049,3.53602,2.06484,0.000661939,0.000661939,0.000661939
2,132.341,2.12068,3.02464,1.99791,0.20522,0.30378,0.19498,0.07753,2.3566,5.66651,2.52838,0.0013023,0.0013023,0.0013023
3,196.391,2.23452,2.95864,2.1588,0.27867,0.14027,0.12396,0.06162,2.52153,4.17274,2.52856,0.00191626,0.00191626,0.00191626
4,259.545,2.1948,2.84923,2.11621,0.3678,0.36854,0.313,0.14919,2.17627,2.66395,2.24121,0.0018812,0.0018812,0.0018812
5,322.813,2.09032,2.66331,2.03803,0.33051,0.30317,0.28887,0.12083,2.11764,2.60527,2.28037,0.0018416,0.0018416,0.0018416
6,386.1,2.044,2.57306,1.99539,0.58876,0.38009,0.45347,0.22382,1.85836,1.88906,1.95374,0.001802,0.001802,0.001802
7,449.702,1.98807,2.45346,1.94159,0.56479,0.48153,0.52277,0.25867,1.78327,1.86615,1.91516,0.0017624,0.0017624,0.0017624
8,513.149,1.93573,2.32919,1.89426,0.50935,0.48416,0.51135,0.23107,1.9074,1.84063,2.02953,0.0017228,0.0017228,0.0017228
9,576.74,1.88594,2.30775,1.87647,0.64614,0.47511,0.55895,0.26687,1.747,1.81829,1.9058,0.0016832,0.0016832,0.0016832
10,640.102,1.84281,2.19947,1.84672,0.64152,0.56109,0.61239,0.30835,1.74101,1.60318,1.91489,0.0016436,0.0016436,0.0016436
11,703.561,1.80964,2.13843,1.80904,0.5805,0.59276,0.60908,0.31756,1.6562,1.56694,1.80401,0.001604,0.001604,0.001604
12,767.171,1.79692,2.08943,1.79181,0.75359,0.52586,0.65397,0.35014,1.60569,1.63425,1.76462,0.0015644,0.0015644,0.0015644
13,830.651,1.77248,2.03834,1.75584,0.73829,0.57919,0.67561,0.34532,1.60025,1.5721,1.77175,0.0015248,0.0015248,0.0015248
14,894.204,1.75825,2.01304,1.74056,0.78449,0.60943,0.72368,0.37784,1.60014,1.70815,1.75225,0.0014852,0.0014852,0.0014852
15,957.603,1.70889,1.91623,1.71814,0.79484,0.58371,0.73214,0.37716,1.63483,1.39471,1.81347,0.0014456,0.0014456,0.0014456
16,1021.36,1.71054,1.89641,1.71705,0.72292,0.68778,0.7441,0.43414,1.49499,1.3201,1.65285,0.001406,0.001406,0.001406
17,1084.94,1.66367,1.82723,1.67745,0.80938,0.69231,0.78555,0.42476,1.56603,1.3113,1.71889,0.0013664,0.0013664,0.0013664
18,1148.66,1.64796,1.78015,1.66824,0.80992,0.63626,0.76808,0.43192,1.51486,1.33639,1.68244,0.0013268,0.0013268,0.0013268
19,1212.3,1.6359,1.78948,1.65266,0.76343,0.63348,0.74032,0.40669,1.5862,1.30862,1.74599,0.0012872,0.0012872,0.0012872
20,1275.73,1.61041,1.72767,1.63637,0.78822,0.741,0.82121,0.45303,1.49015,1.18714,1.66595,0.0012476,0.0012476,0.0012476
21,1339.23,1.60048,1.71605,1.63043,0.78154,0.74464,0.81357,0.4732,1.50081,1.15227,1.66851,0.001208,0.001208,0.001208
22,1402.96,1.57998,1.65524,1.62409,0.8252,0.74766,0.82619,0.49236,1.42423,1.13853,1.63954,0.0011684,0.0011684,0.0011684
23,1466.55,1.5594,1.61649,1.59639,0.80272,0.76923,0.83746,0.48256,1.43983,1.082,1.61433,0.0011288,0.0011288,0.0011288
24,1530.45,1.55209,1.61496,1.58124,0.88416,0.76018,0.84382,0.47623,1.48365,1.17394,1.60909,0.0010892,0.0010892,0.0010892
25,1594.09,1.53125,1.57218,1.57777,0.81832,0.78733,0.85039,0.48538,1.49511,1.07773,1.65508,0.0010496,0.0010496,0.0010496
26,1657.69,1.54995,1.572,1.58207,0.79189,0.80923,0.8476,0.50329,1.41548,1.10313,1.58054,0.00101,0.00101,0.00101
27,1721.34,1.50619,1.51293,1.54423,0.8867,0.76923,0.8544,0.46959,1.46333,1.07021,1.64041,0.0009704,0.0009704,0.0009704
28,1784.96,1.493,1.52911,1.53606,0.85924,0.76018,0.8737,0.51965,1.37575,1.06756,1.55617,0.0009308,0.0009308,0.0009308
29,1848.4,1.49043,1.51996,1.53523,0.87774,0.75113,0.84475,0.4812,1.43754,1.1047,1.59601,0.0008912,0.0008912,0.0008912
30,1911.95,1.48052,1.45551,1.52011,0.86718,0.79638,0.8817,0.50302,1.43985,0.97482,1.58776,0.0008516,0.0008516,0.0008516
31,1975.51,1.44879,1.42312,1.50557,0.8827,0.78733,0.88079,0.5203,1.37539,1.00063,1.55657,0.000812,0.000812,0.000812
32,2039.18,1.4618,1.40274,1.49604,0.8357,0.82856,0.87121,0.53587,1.3824,0.96136,1.53511,0.0007724,0.0007724,0.0007724
33,2102.79,1.44611,1.40388,1.49647,0.88656,0.80995,0.88907,0.53688,1.40252,0.9479,1.58063,0.0007328,0.0007328,0.0007328
34,2166.15,1.4164,1.36576,1.46673,0.86617,0.81999,0.87601,0.52947,1.34348,0.90991,1.51029,0.0006932,0.0006932,0.0006932
35,2229.72,1.38807,1.32494,1.44496,0.91412,0.77828,0.88513,0.5361,1.33329,0.92964,1.49893,0.0006536,0.0006536,0.0006536
36,2293.14,1.39388,1.33099,1.44746,0.92578,0.82353,0.90658,0.54389,1.34416,0.89155,1.51676,0.000614,0.000614,0.000614
37,2356.59,1.36758,1.29778,1.43391,0.91249,0.78281,0.90169,0.5571,1.31159,0.8946,1.48728,0.0005744,0.0005744,0.0005744
