epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0327,2.0513,3.58148,1.9196,0.22273,0.27149,0.15306,0.05731,2.04049,3.53602,2.06484,0.000661939,0.000661939,0.000661939
2,132.63,2.12859,3.04143,2.02672,0.26866,0.19005,0.14492,0.06266,2.2296,3.86762,2.39136,0.00131545,0.00131545,0.00131545
3,196.422,2.24695,3.01796,2.17065,0.10093,0.07692,0.02582,0.01075,2.495,13.3149,2.65239,0.00195577,0.00195577,0.00195577
4,260.258,2.21097,2.86445,2.13913,0.23612,0.29372,0.16728,0.06935,2.10067,6.29395,2.29852,0.0019406,0.0019406,0.0019406
5,323.781,2.12363,2.7311,2.09608,0.38072,0.37104,0.28328,0.12344,2.00819,2.53885,2.11265,0.0019208,0.0019208,0.0019208
6,387.163,2.04281,2.59131,2.0089,0.53437,0.35294,0.39959,0.18322,1.85236,2.17386,2.00645,0.001901,0.001901,0.001901
7,449.904,1.98883,2.51164,1.96854,0.50839,0.42114,0.44223,0.22035,1.79219,2.18366,1.91569,0.0018812,0.0018812,0.0018812
8,513.998,1.93261,2.36214,1.91654,0.34033,0.44344,0.35204,0.17745,1.7898,2.25394,1.99638,0.0018614,0.0018614,0.0018614
9,579.535,1.89459,2.3264,1.90555,0.56017,0.43891,0.48905,0.25283,1.77919,1.95903,1.90973,0.0018416,0.0018416,0.0018416
10,643.189,1.88946,2.23901,1.87727,0.57324,0.36652,0.44103,0.23556,1.82586,2.03174,1.98493,0.0018218,0.0018218,0.0018218
11,706.433,1.82093,2.22286,1.84104,0.6102,0.58824,0.59164,0.30591,1.66977,1.99101,1.85436,0.001802,0.001802,0.001802
12,771.597,1.81837,2.11225,1.81177,0.40817,0.63038,0.49521,0.2547,1.58086,2.0945,1.77105,0.0017822,0.0017822,0.0017822
13,839.538,1.79186,2.06123,1.79219,0.70877,0.53961,0.63454,0.33883,1.64525,1.62086,1.81493,0.0017624,0.0017624,0.0017624
14,905.01,1.79958,2.07267,1.79047,0.71152,0.61086,0.6839,0.37568,1.55107,1.42427,1.7183,0.0017426,0.0017426,0.0017426
15,970.827,1.72078,1.98846,1.7435,0.67189,0.66968,0.71649,0.39925,1.5361,1.49559,1.69734,0.0017228,0.0017228,0.0017228
16,1036.14,1.75086,1.93112,1.7502,0.70765,0.67873,0.70956,0.39088,1.62394,1.4256,1.82031,0.001703,0.001703,0.001703
17,1101.46,1.70547,1.89734,1.7081,0.74954,0.64706,0.72936,0.41196,1.55838,1.38685,1.72566,0.0016832,0.0016832,0.0016832
18,1164.79,1.68947,1.85172,1.70994,0.70988,0.62896,0.71652,0.4042,1.5703,1.49086,1.73112,0.0016634,0.0016634,0.0016634
19,1227.93,1.68467,1.85156,1.70771,0.71513,0.61341,0.71633,0.39708,1.56382,1.37765,1.76046,0.0016436,0.0016436,0.0016436
20,1291.05,1.6424,1.78075,1.66412,0.76774,0.61086,0.73812,0.42775,1.52913,1.39804,1.72009,0.0016238,0.0016238,0.0016238
21,1354.35,1.63951,1.82658,1.67529,0.82021,0.62896,0.74503,0.43006,1.52317,1.39275,1.69527,0.001604,0.001604,0.001604
22,1417.76,1.62666,1.74887,1.65373,0.77909,0.68619,0.78381,0.43546,1.51866,1.30836,1.73812,0.0015842,0.0015842,0.0015842
23,1482.35,1.62303,1.70739,1.64781,0.78785,0.67873,0.7844,0.45082,1.51779,1.24045,1.70609,0.0015644,0.0015644,0.0015644
24,1546.11,1.60594,1.69908,1.63478,0.76499,0.67421,0.78236,0.43643,1.54046,1.23215,1.6914,0.0015446,0.0015446,0.0015446
25,1609.62,1.61843,1.68175,1.65351,0.77629,0.70659,0.79889,0.46382,1.44645,1.24183,1.63791,0.0015248,0.0015248,0.0015248
26,1673.67,1.61246,1.69909,1.6429,0.82237,0.69132,0.79685,0.48262,1.42291,1.1378,1.63803,0.001505,0.001505,0.001505
27,1737.58,1.58054,1.63771,1.62161,0.83324,0.71946,0.82889,0.47263,1.46536,1.2212,1.62331,0.0014852,0.0014852,0.0014852
28,1800.4,1.55399,1.64108,1.60056,0.80258,0.72398,0.81442,0.47258,1.47048,1.13617,1.64627,0.0014654,0.0014654,0.0014654
29,1863.18,1.57994,1.64324,1.61939,0.83224,0.6959,0.7943,0.43931,1.48943,1.20009,1.66158,0.0014456,0.0014456,0.0014456
30,1926.11,1.55756,1.62178,1.59803,0.80635,0.69715,0.78596,0.43987,1.53477,1.26086,1.68691,0.0014258,0.0014258,0.0014258
31,1989.95,1.5432,1.55338,1.58296,0.85667,0.76471,0.82399,0.4868,1.44392,1.13735,1.62944,0.001406,0.001406,0.001406
32,2052.85,1.53549,1.56309,1.57559,0.84255,0.75113,0.83857,0.50066,1.44016,1.12664,1.6069,0.0013862,0.0013862,0.0013862
33,2116.72,1.53487,1.54395,1.58173,0.84396,0.7097,0.83131,0.4907,1.46012,1.08264,1.6163,0.0013664,0.0013664,0.0013664
34,2179.66,1.5183,1.52198,1.56069,0.79843,0.6811,0.77237,0.44385,1.49044,1.26189,1.62405,0.0013466,0.0013466,0.0013466
35,2242.8,1.48693,1.49135,1.53582,0.82123,0.72752,0.82241,0.49514,1.39322,1.18649,1.57389,0.0013268,0.0013268,0.0013268
36,2307,1.49672,1.50362,1.5512,0.82168,0.84615,0.89039,0.49628,1.43983,1.03059,1.61041,0.001307,0.001307,0.001307
37,2371,1.4625,1.44382,1.52222,0.89874,0.72291,0.84965,0.52089,1.40451,1.02179,1.60315,0.0012872,0.0012872,0.0012872
38,2435,1.47637,1.46199,1.5329,0.86025,0.79186,0.85367,0.50629,1.38021,1.06174,1.59111,0.0012674,0.0012674,0.0012674
39,2498.35,1.45191,1.41119,1.51555,0.88839,0.76923,0.86765,0.52672,1.3842,0.98588,1.555,0.0012476,0.0012476,0.0012476
40,2561.96,1.46081,1.42416,1.51567,0.85211,0.75606,0.84504,0.52007,1.4112,1.06153,1.59503,0.0012278,0.0012278,0.0012278
41,2625.23,1.45241,1.41765,1.51097,0.87345,0.77376,0.87108,0.54832,1.34543,0.98988,1.55268,0.001208,0.001208,0.001208
42,2688.85,1.42409,1.3863,1.47647,0.8842,0.76923,0.87203,0.53349,1.39076,0.95365,1.59037,0.0011882,0.0011882,0.0011882
43,2752.55,1.43285,1.36778,1.47925,0.88212,0.79638,0.88241,0.54385,1.34955,0.96538,1.53238,0.0011684,0.0011684,0.0011684
44,2817.39,1.43083,1.36967,1.4732,0.90039,0.73303,0.85029,0.51928,1.41748,1.01469,1.58258,0.0011486,0.0011486,0.0011486
45,2881.57,1.43063,1.37043,1.49829,0.90679,0.8009,0.86129,0.54096,1.37533,0.95665,1.56129,0.0011288,0.0011288,0.0011288
46,2945.47,1.40623,1.33842,1.47437,0.88437,0.84163,0.88955,0.54782,1.35545,0.95593,1.53229,0.001109,0.001109,0.001109
47,3009.09,1.41968,1.32362,1.4697,0.87124,0.82667,0.87116,0.51098,1.38618,0.96026,1.53937,0.0010892,0.0010892,0.0010892
48,3072.76,1.40256,1.32535,1.45559,0.90084,0.79186,0.87283,0.5365,1.39626,0.9703,1.55015,0.0010694,0.0010694,0.0010694
49,3137.66,1.39376,1.30762,1.45543,0.8735,0.82353,0.88316,0.53615,1.38339,0.93018,1.54593,0.0010496,0.0010496,0.0010496
50,3202.68,1.38937,1.30998,1.46728,0.8549,0.79976,0.88381,0.54805,1.3326,0.92758,1.51681,0.0010298,0.0010298,0.0010298
51,3266.57,1.37525,1.28076,1.44666,0.8663,0.77376,0.87441,0.54988,1.32268,0.89766,1.5099,0.00101,0.00101,0.00101
52,3330.68,1.37737,1.25905,1.44218,0.86957,0.81455,0.88644,0.55282,1.32397,0.87593,1.51128,0.0009902,0.0009902,0.0009902
53,3394.45,1.38261,1.28689,1.45225,0.85809,0.80543,0.87321,0.54702,1.33995,0.95716,1.52837,0.0009704,0.0009704,0.0009704
54,3457.79,1.35608,1.25918,1.43705,0.88415,0.82881,0.90931,0.5706,1.30908,0.84391,1.48112,0.0009506,0.0009506,0.0009506
55,3521,1.33083,1.20671,1.414,0.87152,0.79804,0.87118,0.55749,1.3116,0.93413,1.50833,0.0009308,0.0009308,0.0009308
